keys,zh_CN,en
GAME_RESULT_DRAW,"和棋","Draw"
GAME_RESULT_LEFT,"主动离开","Left game"
GAME_STATUS_ACTIVE,"进行中","In progress"
GAME_STATUS_FINISHED,"结束","Finished"
CHESS_GAME_VARIANT,"国际象棋","Chess"
CHESS_FEN_PROMPT,"输入国际象棋 FEN 局面：","Enter FEN position:"
XIANGQI_GAME_VARIANT,"中国象棋","Xiangqi"
CHESS_TIME_CONTROL_DESC,"每方15分钟，每步完成后加5秒。","15 minutes per side, plus 5 seconds after each completed move."
MATCH_UNDO,"悔棋","Undo"
MATCH_LEAVE_GAME,"离开对局","Leave game"
MATCH_API_KEY,"API密钥","API Key"
MATCH_REVIEW_TITLE,"对局复盘","Game review"
MATCH_REVIEW_PANEL_TITLE,"对局分析","Game analysis"
MATCH_GENERATE_REVIEW,"生成对局分析","Generate analysis"
MATCH_REVIEW_GENERATING,"正在生成分析","Generating analysis"
MATCH_REVIEW_GENERATED,"对局分析已生成","Analysis generated"
MATCH_GAME_ACTIVE,"对局进行中","Game in progress"
MATCH_GAME_OVER,"对局结束","Game over"
MATCH_GAME_ENDED_WITH,"对局结束：%s","Game over: %s"
MATCH_CLOCK,"棋钟","Clock"
MATCH_REVIEW_NO_CHECKMATE,"当前没有可复盘的终局。","No reviewable ending is available."
MATCH_REVIEW_GENERATING_STATUS,"对局分析正在生成。","Game analysis is being generated."
MATCH_REVIEW_FAILED_RETRY,"对局分析生成失败，可以重试。","Game analysis failed. You can try again."
XQ_REVIEW_NOT_CHECKMATE,"当前不是将死局面，无法生成对局分析。","The current position is not checkmate, so analysis cannot be generated."
XQ_AI_REPLY_DONE,"AI棋友已经回复，皮卡鱼开始落子。","The AI chess friend has replied; Pikafish is starting its move."
XQ_REVIEW_FAILED,"对局分析生成失败。","Game analysis failed."
HUMAN_RESULT_WIN,"胜","Win"
HUMAN_RESULT_LOSS,"负","Loss"
MATCH_AI_UNAVAILABLE,"AI模块不可用。","AI module is unavailable."
MATCH_API_KEY_REQUIRED,"请先设置API密钥。","Please set an API key first."
API_KEY_TITLE,"API密钥","API Key"
API_KEY_PLACEHOLDER,"百炼API Key / DASHSCOPE_API_KEY","Bailian API Key / DASHSCOPE_API_KEY"
API_KEY_EMPTY,"API密钥为空","API key is empty"
API_KEY_SAVE_FAILED,"API密钥保存失败","Failed to save API key"
API_KEY_SAVED,"API密钥已保存到本地","API key saved locally"
API_KEY_CLEAR_FAILED,"本地API密钥清空失败","Failed to clear the local API key"
API_KEY_CLEARED,"本地API密钥已清空","Local API key cleared"
API_KEY_LOADED,"已加载本地API密钥","Local API key loaded"
API_KEY_READY,"API密钥已就绪","API key is ready"
API_KEY_WAITING,"等待API密钥","Waiting for API key"
XQ_NO_UNDO,"没有可以悔的棋。","There is no move to undo."
XQ_PIKAFISH_THINKING_WAIT,"皮卡鱼正在落子，请稍等。","Pikafish is moving. Please wait."
XQ_PIKAFISH_MOVED,"皮卡鱼走了 %s。","Pikafish played %s."
XQ_PLAYER_MOVED,"你走了 %s。","You played %s."
XQ_UNDO_ONE,"悔棋：回退一步。","Undo: stepped back one move."
XQ_UNDONE,"已悔棋。","Move undone."
XQ_AI_AGENT_REPLYING,"AI棋友正在回复，皮卡鱼稍后落子...","The AI chess friend is replying; Pikafish will move shortly..."
XQ_AI_THINKING_ENTRY,"正在思考下一步。","Thinking about the next move."
XQ_PIKAFISH_THINKING,"皮卡鱼正在思考...","Pikafish is thinking..."
XQ_PIKAFISH_NO_MOVE,"皮卡鱼没有返回可用走法。","Pikafish did not return a usable move."
XQ_PIKAFISH_NEW_GAME_FAILED,"皮卡鱼新对局启动失败。","Pikafish failed to start a new game."
XQ_PIKAFISH_ILLEGAL_MOVE,"皮卡鱼返回了非法走法：%s","Pikafish returned an illegal move: %s"
XQ_PIKAFISH_APPLY_FAILED,"无法应用皮卡鱼走法：%s","Could not apply Pikafish move: %s"
XQ_OUTPUT_MOVE,"输出走法：%s","Output move: %s"
XQ_INPUT_MOVE,"输入走法：%s","Input move: %s"
XQ_OUTPUT_ERROR,"输出错误：%s","Output error: %s"
XQ_ENGINE_ERROR,"引擎错误：%s","Engine error: %s"
XQ_GAME_STARTED,"对局开始。玩家执%s。","Game started. Player plays %s."
XQ_INPUT_FEN,"输入局面 FEN：%s","Input position FEN: %s"
XQ_MOVE_SHEET_HELP,"棋谱\n点击左右侧翻页，右键或Esc返回","Move Sheet\nClick left/right to turn pages, right click or Esc to return"
XQ_AI_IO_TITLE,"AI交流","AI Chat"
XQ_TITLE,"中国象棋","Xiangqi"
XQ_FEN_PROMPT,"输入中国象棋 FEN 局面：","Enter Xiangqi FEN position:"
XQ_CHECKMATE,"将死！","Checkmate!"
XQ_STALEMATE,"和棋。","Draw."
XQ_GAME_OVER,"对局结束","Game over"
XQ_AI_TURN,"轮到皮卡鱼了！","Pikafish to move!"
XQ_YOUR_TURN,"轮到你了！","Your turn!"
XQ_SIDE_TURN,"轮到%s了！","%s to move!"
AI_IO_ROLE_AI_REPLY,"AI 回复","AI Reply"
AI_IO_ROLE_CHAT,"AI交流","AI Chat"
AI_IO_ROLE_ME,"我","Me"
AI_IO_ROLE_REVIEW,"AI 复盘","AI Review"
AI_IO_ROLE_ERROR,"AI 错误","AI Error"
AI_IO_ROLE_PLAYER_INPUT,"玩家输入","Player Input"
AI_IO_ROLE_AI_OUTPUT,"AI 输出","AI Output"
AI_IO_ROLE_SYSTEM,"系统","System"
AI_IO_PAGE_FORMAT,"第 %d / %d 页","Page %d / %d"
AI_IO_CHAT_PLACEHOLDER,"在这里和AI交流","Chat with AI here"
AI_IO_SEND,"发送","Send"
AI_IO_CONTINUED,"（续）"," (continued)"
ARCHIVE_RENAME_PROMPT,"重命名：","Rename:"
